Time[s],y_e[m],theta_e[rad],x_e[m],V[m/s],steering angle[rad],acceleration[m/s^2],calculation time[ms],progressed distance[m]
0.0,0.009191174014328557,0.04422347718047547,0.9967518544328554,5.0,0.0,0.0,0.0,0.9967518544328554
0.1,0.027666180505196484,0.10268035281443663,1.5023310636957912,5.126102579957171,-0.06926375615137594,1.2610257995717034,3.4557,1.5023310636957912
0.2,0.046764289124816116,0.1665249697618923,2.017056967719318,5.223859537502133,-0.1933290660342269,0.9775695754496234,3.1993,2.017056967719318
0.30000000000000004,0.055117651482825325,0.20466847416379838,2.5380469319760977,5.299558050999049,-0.33174592335880676,0.7569851349691654,3.1524,2.5380469319760977
0.4,0.04960041037700272,0.21991782523493864,3.0647331481908027,5.3580799525234815,-0.42647307820197927,0.5852190152443296,3.2788,3.0647331481908027
0.5,0.04255295270267897,0.22408973905978435,3.597660726878734,5.4032991659998615,-0.4476739588084409,0.4521921347638038,2.928,3.597660726878734
0.6,0.03973089152237878,0.224579116867863,4.136235294082081,5.4382377680615805,-0.4378670865691605,0.34938602061719376,3.0065,4.136235294082081
0.7,0.033051669867572964,0.21891501931412977,4.67875673568843,5.465182469845386,-0.4455756124146862,0.26944701783805797,2.394,4.67875673568843
0.7999999999999999,0.02811895997734734,0.2109026184005518,5.2243134652545224,5.485952452262987,-0.42813571597007855,0.20769982417601432,2.105,5.2243134652545224
0.8999999999999999,0.027579742528269415,0.20186084764522022,5.772028760279275,5.501967014004513,-0.39911264635871774,0.16014561741525932,1.9454,5.772028760279275
0.9999999999999999,0.024216681250366384,0.188821820742043,6.321183739960968,5.5142945748472245,-0.3885779175815992,0.12327560842712063,1.3431,6.321183739960968
1.0999999999999999,0.019648454693964763,0.17355084431915313,6.871680623417578,5.523790852031025,-0.36702942297940566,0.09496277183800708,1.6939,6.871680623417578
1.2,0.019211356797565728,0.15992788585020168,7.423481318218951,5.531110375852968,-0.3267144371088977,0.07319523821943226,1.5166,7.423481318218951
1.3,0.016357044321175844,0.14527929185987745,7.976144257708582,5.536729533856712,-0.30861107016654454,0.056191580037441125,1.2229,7.976144257708582
1.4000000000000001,0.013034110253082423,0.1307054588439538,8.529459457851551,5.541057347724618,-0.28282574054003695,0.04327813867906385,1.339,8.529459457851551
1.5000000000000002,0.011074035601678045,0.11726919966730776,9.083337294802913,5.544392753781402,-0.25147954563180663,0.033354060567837976,1.5014,9.083337294802913
1.6000000000000003,0.009969101770254923,0.1050792467125633,9.637608619410049,5.546960065169339,-0.22393578751341572,0.025673113879367417,1.251,9.637608619410049
1.7000000000000004,0.007830367928429482,0.0930397149849681,10.192143405700136,5.548935943861177,-0.20412542386606108,0.01975878691838507,1.2361,10.192143405700136
1.8000000000000005,0.004997442210275382,0.08129031351817817,10.746923074969127,5.55045733504275,-0.18341239163183068,0.01521391181572673,1.2268,10.746923074969127
1.9000000000000006,0.004395096112351319,0.07141896383264346,11.30193121981343,5.551630579565903,-0.15429954098260223,0.01173244523153734,1.7385,11.30193121981343
2.0000000000000004,0.0023690419931596263,0.06150895355854746,11.857075472786914,5.552532929912962,-0.13988303555092346,0.009023503470585635,0.9806,11.857075472786914
2.1000000000000005,6.758149426712337e-05,0.05207386581477913,12.412322322998534,5.553227078037616,-0.12176349708397519,0.006941481246544759,0.8569,12.412322322998534
2.2000000000000006,-0.0018142521616239496,0.043342643631080535,12.967659667421762,5.553762628367099,-0.10224811088188353,0.005355503294824913,0.8382,12.967659667421762
2.3000000000000007,-0.0031712065716513415,0.03529947041007109,13.523061260830506,5.554174759976834,-0.08369711986820644,0.004121316097358016,0.8108,13.523061260830506
2.400000000000001,-0.005389835732913446,0.027175948610874023,14.078494770112217,5.554492802009765,-0.0706913010008152,0.003180420329306878,0.8515,14.078494770112217
2.500000000000001,-0.00867897403786894,0.018899502579737937,14.633939661152354,5.554737377644198,-0.05818552301692066,0.002445756344330415,0.9155,14.633939661152354
2.600000000000001,-0.009755718180305769,0.011831807030719843,15.1893958070127,5.554925995398088,-0.03494944526358328,0.0018861775388995044,0.8506,15.1893958070127
2.700000000000001,-0.012624496181637534,0.003846234125922332,15.74483714293436,5.555072304351587,-0.026354127400345165,0.0014630895349805107,0.8593,15.74483714293436
2.800000000000001,-0.016840504910615933,-0.00463731736014561,16.30023314684993,5.555183917417164,-0.014738818841506374,0.0011161306557766724,2.6762,16.30023314684993
2.9000000000000012,-0.020370928791136292,-0.012719448996998839,16.855552988793562,5.555269501418982,0.004219614465244742,0.0008558400181765611,1.7378,16.855552988793562
3.0000000000000013,-0.023227132341309697,-0.020986996826123927,17.410784163288618,5.55533601712963,0.022944720451410685,0.0006651571064777246,0.8229,17.410784163288618
3.1000000000000014,-0.028836316597418678,-0.030953258635510683,17.965883696936295,5.555386527825792,0.03126307918172284,0.0005051069616239429,0.8221,17.965883696936295
3.2000000000000015,-0.035904326408871125,-0.041655876201724625,18.520752840214662,5.555425605253914,0.04664144039982426,0.0003907742812144343,0.8878,18.520752840214662
3.3000000000000016,-0.040079849577497294,-0.05193906005853932,19.0753494974491,5.555455661935062,0.0777037156344974,0.0003005668114794801,0.902,19.0753494974491
3.4000000000000017,-0.049383381808467824,-0.06587260770761928,19.62955559381826,5.555478945276129,0.08343058884132726,0.00023283341067530648,1.0843,19.62955559381826
3.5000000000000018,-0.06476408829859358,-0.08296088342923624,20.183001083910124,5.555496525199635,0.09252444623307038,0.00017579923505144058,1.6174,20.183001083910124
3.600000000000002,-0.07846090463538263,-0.10029722499483797,20.73545501900021,5.555510060216768,0.13214231584888006,0.00013535017133981667,2.0186,20.73545501900021
3.700000000000002,-0.09779604334109708,-0.12234901753352245,21.28653781524527,5.555520542175077,0.15093560838156062,0.00010481958308206162,1.9227,21.28653781524527
3.800000000000002,-0.11815748381451446,-0.1459218773203511,21.83588840631387,5.555528569204885,0.19196471459590378,8.027029807662964e-05,1.0982,21.83588840631387
3.900000000000002,-0.10898770207832853,-0.15916347542416476,22.383856263729488,5.555534918041612,0.3271953768082132,6.348836727188187e-05,1.0048,22.383856263729488
4.000000000000002,-0.07681103888622319,-0.1695317405774561,22.93115313972588,5.5555398467461155,0.4228199990145191,4.928704502822494e-05,0.7905,22.93115313972588
4.100000000000001,-0.032607163721839263,-0.18282443951966404,23.479243313124133,5.555543993414386,0.48026805808478934,4.146668270839025e-05,0.5942,23.479243313124133
4.200000000000001,0.01724665189895176,-0.2018975568771737,24.029954381702016,5.555547813616849,0.5235987755982988,3.820202462838768e-05,0.3126,24.029954381702016
4.300000000000001,0.017636237051160075,-0.25101700116699605,24.586230487348082,5.555549896415028,0.43082331994847634,2.082798178040283e-05,1.1045,24.586230487348082
4.4,0.020882365510574954,-0.295411309052814,25.142998981099016,5.555551671590092,0.5208356130412447,1.775175064324525e-05,0.4617,25.142998981099016
4.5,0.002394646402688103,-0.3318948850709381,25.697678085845318,5.555553381702693,0.5235987755982988,1.7101126006802358e-05,0.1211,25.697678085845318
4.6,-0.03429910606721395,-0.3613173597962411,26.24844577164469,5.555554993567924,0.5235987755982988,1.611865230463514e-05,0.1275,26.24844577164469
4.699999999999999,-0.08477099781727308,-0.38061007595839125,26.794860816627434,5.555556480358098,0.5235987755982988,1.4867901742864291e-05,0.1282,26.794860816627434
4.799999999999999,-0.1425011653239279,-0.3877196883601135,27.33659255668923,5.555557820721796,0.5235987755982988,1.3403636977066979e-05,0.1219,27.33659255668923
4.899999999999999,-0.20108756332832914,-0.3841386819992503,27.87529199503063,5.555558999330674,0.5235987755982988,1.178608878481809e-05,0.1278,27.87529199503063
4.999999999999998,-0.25551973447735804,-0.3730596854302308,28.41236683878059,5.555560007622382,0.5235987755982988,1.0082917077253275e-05,0.1251,28.41236683878059
5.099999999999998,-0.3019531362123946,-0.35528120627721843,28.948667981941284,5.555560841903905,0.5235987755982988,8.342815227098705e-06,0.1285,28.948667981941284
5.1999999999999975,-0.33678445650917976,-0.3313843358889662,29.485435740767926,5.555561504345239,0.5235987755982988,6.624413343679648e-06,0.1295,29.485435740767926
5.299999999999997,-0.35710262264025316,-0.30319812440059996,30.023122151714173,5.55556200362409,0.5235987755982988,4.992788502487557e-06,0.1256,30.023122151714173
5.399999999999997,-0.360687187450652,-0.27113785148035624,30.561933299054612,5.555562351898456,0.5235987755982988,3.4827436630462415e-06,0.1267,30.561933299054612
5.4999999999999964,-0.3454093200473422,-0.235323903297376,31.1021288701146,5.555560930366838,0.5235987755982988,-1.4215316190736347e-05,1.6278,31.1021288701146
5.599999999999996,-0.3094533784972129,-0.19685091183992887,31.64342167732042,5.555559695454102,0.5235987755982988,-1.2349127359473113e-05,2.3414,31.64342167732042
5.699999999999996,-0.2516122730472495,-0.1562423934122108,32.18528161605305,5.555558741726695,0.5235987755982988,-9.537274071153564e-06,2.4767,32.18528161605305
5.799999999999995,-0.1708028801528922,-0.11350135388844997,32.72720519927892,5.555558003822758,0.5235987755982988,-7.379039367930743e-06,2.5251,32.72720519927892
5.899999999999995,-0.06603953052794823,-0.06889151767083768,33.26852396154777,5.555557432711517,0.5235987755982988,-5.711112411012684e-06,1.4285,33.26852396154777
5.999999999999995,-0.038497256008792044,-0.0680818965224117,33.821448864282864,5.5555569979732935,0.23313839000997322,-4.347382228542175e-06,1.0555,33.821448864282864
6.099999999999994,-0.03127351712172025,-0.07540947015782085,34.37560393694609,5.555556664223087,0.16847937111646719,-3.337502058296566e-06,1.1057,34.37560393694609
6.199999999999994,-0.0292729652277262,-0.08228117219815878,34.92997746714838,5.555556414896792,0.16395748011029002,-2.493262957707355e-06,0.7967,34.92997746714838
6.299999999999994,-0.028937133813124318,-0.08763562742589237,35.48443638486458,5.555556218110862,0.16996289996342928,-1.967859298373221e-06,0.7779,35.48443638486458
6.399999999999993,-0.02889942915779715,-0.09143993428259467,36.03891872747916,5.555556075211102,0.17786378458964114,-1.4289975936722806e-06,0.9351,36.03891872747916
6.499999999999993,-0.028980137423716176,-0.09401048717089823,36.59340450835283,5.555555960506115,0.1836645513464824,-1.1470498746855491e-06,0.4216,36.59340450835283
6.5999999999999925,-0.029300081821526467,-0.09577377374407225,37.147892194725785,5.555555871906831,0.1870086428669153,-8.859928336733182e-07,0.5388,37.147892194725785
6.699999999999992,-0.029691064253818098,-0.0971692880993803,37.70237460132877,5.555555791167485,0.1897949026732778,-8.073934548386548e-07,0.5165,37.70237460132877
6.799999999999992,-0.030230155111286176,-0.09838380957027026,38.25684124071146,5.555555729990039,0.19181246708573535,-6.117744655154278e-07,0.8226,38.25684124071146
6.8999999999999915,-0.030922105342275283,-0.099480665540149,38.81127654480895,5.555555692451195,0.1935220094515291,-3.753884444863185e-07,0.8849,38.81127654480895
6.999999999999991,-0.031501452994820864,-0.10050186357282542,39.36566392760067,5.555555660866873,0.1959134076721901,-3.1584322238318446e-07,0.5228,39.36566392760067
7.099999999999991,-0.03228156238620143,-0.10187230988849194,39.92000949781522,5.555555639118599,0.19751960090984808,-2.1748274489469537e-07,0.5366,39.92000949781522
7.19999999999999,-0.03318850812340059,-0.10350810329918558,40.47431932853511,5.555555618425833,0.19999071424862572,-2.0692765440210443e-07,0.8372,40.47431932853511
7.29999999999999,-0.03462255175814702,-0.10553862379772183,41.02856403618933,5.555555603617369,0.20170367714029425,-1.4808463356695876e-07,0.6093,41.02856403618933
7.39999999999999,-0.03599439110877023,-0.10776707394334917,41.58270364527632,5.555555592632995,0.20599527107094787,-1.0984374342896562e-07,0.905,41.58270364527632
7.499999999999989,-0.03744650502484501,-0.11036712950377936,42.13675515226323,5.555555583622414,0.21038346520325113,-9.010580852159078e-08,0.565,42.13675515226323
7.599999999999989,-0.03925341125150493,-0.11339605872580405,42.69070510087584,5.555555577594615,0.21458581841604518,-6.027799996498406e-08,0.8243,42.69070510087584
7.699999999999989,-0.040451733429064766,-0.11637232981794289,43.244498133738176,5.555555572581788,0.22247064263189398,-5.012826690228162e-08,0.6484,43.244498133738176
7.799999999999988,-0.03990794878615097,-0.11929513931482871,43.79813999030465,5.5555555685495746,0.2340673924747178,-4.032213727340806e-08,0.6523,43.79813999030465
7.899999999999988,-0.040820105287841545,-0.12379620573800289,44.35172847890856,5.555555565552985,0.23615081638335378,-2.9965895359803093e-08,0.5519,44.35172847890856
7.999999999999988,-0.041700138294308096,-0.12889150413751582,44.905244199607544,5.555555563206302,0.24544158376000916,-2.346683244589934e-08,0.7798,44.905244199607544
8.099999999999987,-0.04174676209496109,-0.13385176962041134,45.45861186423568,5.555555561426337,0.2580472193030507,-1.7799643161401307e-08,0.8847,45.45861186423568
8.199999999999987,-0.04089120418853211,-0.13768114702236178,46.011889337449325,5.555555560053553,0.2695519020267875,-1.372784638218811e-08,0.8826,46.011889337449325
8.299999999999986,-0.0404232601686227,-0.14118982416694334,46.565171449408496,5.555555558982218,0.27515731168182817,-1.0713348712220268e-08,0.6993,46.565171449408496
8.399999999999986,-0.03970302363045639,-0.14425660233903304,47.11850007884968,5.555555558223706,0.2822025205938761,-7.585115086979216e-09,0.8343,47.11850007884968
8.499999999999986,-0.03912260406049275,-0.14639453908808941,47.67190539532624,5.555555557566557,0.2869123280783193,-6.571487654876703e-09,0.8842,47.67190539532624
8.599999999999985,-0.03829978492778089,-0.14688197848095272,48.225361314845,5.555555557053978,0.29018886522262965,-5.1257936553657886e-09,0.8239,48.225361314845
8.699999999999985,-0.037096082889529765,-0.14611898396376244,48.778869930217695,5.555555556711656,0.2912046825947474,-3.4232202953252527e-09,0.3819,48.778869930217695
8.799999999999985,-0.03609154834269929,-0.1447392057153265,49.33249710175195,5.555555556446626,0.2885030605885517,-2.6503094633828327e-09,0.7272,49.33249710175195
8.899999999999984,-0.0358938214584471,-0.1432510618858942,49.886244128072306,5.555555556229729,0.28306254816589554,-2.1689652191949953e-09,0.6357,49.886244128072306
8.999999999999984,-0.034914157217915964,-0.14103497596188497,50.44005537687566,5.5555555560854835,0.2822175925925219,-1.442453459913828e-09,0.3654,50.44005537687566
9.099999999999984,-0.034041105551246245,-0.13870013366578515,50.993939136573104,5.555555555965781,0.27755638977620034,-1.1970282835037333e-09,0.5698,50.993939136573104
9.199999999999983,-0.03381942732385791,-0.13652934448409756,51.54790900020376,5.555555555867983,0.27108886028172163,-9.779827122898972e-10,0.6225,51.54790900020376
9.299999999999983,-0.03324433143679108,-0.1340326059169641,52.10192957320338,5.555555555810854,0.26786919155820893,-5.712880016960382e-10,0.8763,52.10192957320338
9.399999999999983,-0.03245839611516214,-0.13138530306587984,52.655990389930935,5.555555555750007,0.2637041989451532,-6.084698590012616e-10,0.6142,52.655990389930935
9.499999999999982,-0.03202010567339733,-0.12891700271233408,53.21011190174008,5.5555555557071825,0.25764019850437503,-4.282415037261229e-10,0.6061,53.21011190174008
9.599999999999982,-0.0320404255011203,-0.12676135226352336,53.76429016934622,5.555555555672182,0.2516426503355312,-3.500017879849378e-10,0.5669,53.76429016934622
9.699999999999982,-0.03152531495820134,-0.12446074785990757,54.31849706704837,5.555555555649845,0.24922525396700812,-2.2336720878704492e-10,0.3404,54.31849706704837
9.799999999999981,-0.03118736837977712,-0.12239130201578297,54.87273343182456,5.555555555627469,0.24443592462752375,-2.2375895891344652e-10,0.4996,54.87273343182456
9.89999999999998,-0.0312791324426987,-0.12070601044530926,55.427000332449694,5.555555555614807,0.23932661544628003,-1.266246530854919e-10,0.4529,55.427000332449694
9.99999999999998,-0.03133876739271357,-0.11924780572865767,55.98128081661297,5.555555555599945,0.23641795919415912,-1.4861957711690283e-10,0.6656,55.98128081661297
10.09999999999998,-0.03137041948220789,-0.11799182253567242,56.53556520314754,5.555555555590312,0.23390602772287222,-9.633595582488839e-11,0.6276,56.53556520314754
10.19999999999998,-0.03175336781727979,-0.11710016118577828,57.08984572607813,5.55555555558209,0.23061053885965133,-8.22212339800418e-11,0.3554,57.08984572607813
10.29999999999998,-0.032251193764825194,-0.11659672004479438,57.644112722924596,5.555555555576261,0.22883469331678383,-5.829488554575975e-11,0.475,57.644112722924596
10.399999999999979,-0.03261495709217433,-0.11635418413147525,58.19836550923357,5.555555555571927,0.2285764650524019,-4.3330308858185084e-11,0.3094,58.19836550923357
10.499999999999979,-0.03333660576557182,-0.11655016019042685,58.752589661043444,5.555555555568291,0.22728811414238465,-3.6357906179624426e-11,0.5545,58.752589661043444
10.599999999999978,-0.034057458849044604,-0.11710615120559709,59.30676071436121,5.555555555565417,0.22794773292718817,-2.8741094819571114e-11,0.6055,59.30676071436121
10.699999999999978,-0.03488360458228799,-0.11819338322715245,59.86088681698172,5.555555555563207,0.22915640096363352,-2.209568729289214e-11,0.6186,59.86088681698172
10.799999999999978,-0.03662194765020162,-0.12006604382203179,60.414944539515204,5.555555555561636,0.22884007075280197,-1.5715255695251366e-11,0.6007,60.414944539515204
10.899999999999977,-0.038243253515283564,-0.12221107635368167,60.96887870024056,5.555555555560341,0.2330393359384776,-1.2951653969487422e-11,0.5223,60.96887870024056
10.999999999999977,-0.039422276458810086,-0.12482439209047592,61.522701387413704,5.55555555555904,0.23908982682068794,-1.3011662294660496e-11,0.9769,61.522701387413704
11.099999999999977,-0.04254855968707298,-0.12891239173984514,62.076396385387625,5.555555555558409,0.23878758363566785,-6.3069964327843876e-12,0.8519,62.076396385387625
11.199999999999976,-0.045896058502335094,-0.13344765103522294,62.629860555051465,5.55555555555783,0.24623259253023788,-5.787493155186758e-12,0.9757,62.629860555051465
11.299999999999976,-0.04857577707953236,-0.1384453974583626,63.18306802175061,5.5555555555573894,0.25752667089327863,-4.406830791263343e-12,1.2007,63.18306802175061
11.399999999999975,-0.05447985887175457,-0.14566010046949707,63.73597422290389,5.5555555555570635,0.25809261381877485,-3.2576657432803468e-12,1.1999,63.73597422290389
11.499999999999975,-0.06118174402441367,-0.15359944374201895,64.28838917550073,5.55555555555665,0.26969396093300657,-4.143146579435567e-12,1.2909,64.28838917550073
11.599999999999975,-0.065296007783633,-0.1615460741339638,64.84027562059038,5.555555555556491,0.29325181450173626,-1.5867744586325791e-12,1.1586,64.84027562059038
11.699999999999974,-0.07269547875862496,-0.17243179531223252,65.3916183968917,5.555555555556283,0.2997924882901908,-2.0822125738204737e-12,1.6829,65.3916183968917
11.799999999999974,-0.07830679478143984,-0.18338044315665725,65.94221967408534,5.555555555556209,0.3260673579468793,-7.374804178507075e-13,1.0052,65.94221967408534
11.899999999999974,-0.07906013692380752,-0.1929680482701488,66.492215986347,5.555555555556156,0.360840791947535,-5.37109801067794e-13,0.7571,66.492215986347
11.999999999999973,-0.08009836740919521,-0.20399402113589774,67.041941403228,5.555555555556127,0.3784678051498958,-2.8795852150345436e-13,0.7909,67.041941403228
12.099999999999973,-0.0793935133906534,-0.2145166589697207,67.59139181791275,5.555555555556089,0.4037485001966676,-3.857493063689133e-13,0.9703,67.59139181791275
12.199999999999973,-0.07438067651956262,-0.2203387649631037,68.14091312062692,5.555555555556061,0.4318860560716752,-2.8598300999641007e-13,0.9182,68.14091312062692
12.299999999999972,-0.0674468724507065,-0.22362529220748886,68.69084152298913,5.555555555555878,0.44568345597246395,-1.8333305863574404e-12,1.8941,68.69084152298913
12.399999999999972,-0.06334120193251107,-0.2261449707316292,69.24136181678566,5.5555555555558955,0.44229954732976995,1.769302084355538e-13,1.8536,69.24136181678566
12.499999999999972,-0.0545307146673044,-0.22359848644069835,69.79240633578678,5.555555555555736,0.45678661789437647,-1.5947752054565444e-12,2.2334,69.79240633578678
12.599999999999971,-0.046844285413695536,-0.21987654936466816,70.34418315188701,5.555555555555637,0.44795179491240544,-9.857624058296442e-13,2.1955,70.34418315188701
12.69999999999997,-0.04438469496126648,-0.216081180094569,70.89659755717337,5.555555555555706,0.42535101558225885,6.96606413751643e-13,1.5295,70.89659755717337
12.79999999999997,-0.037034812485566636,-0.20758636591676183,71.44936482056976,5.555555555555505,0.42995572118192826,-2.0167451430634107e-12,1.4261,71.44936482056976
12.89999999999997,-0.03252670878932111,-0.198987746825078,72.00271230697692,5.555555555555439,0.4059979959659191,-6.568397437837567e-13,0.8946,72.00271230697692
12.99999999999997,-0.031181650129254123,-0.19041095638060446,72.55643415836826,5.555555555555562,0.38059207820244606,1.2291973177114848e-12,0.7729,72.55643415836826
13.09999999999997,-0.027157227135648547,-0.1793650772384301,73.11035273584888,5.5555555555556415,0.37161068061613,8.024615281556965e-13,0.7877,73.11035273584888
13.199999999999969,-0.025164035604675426,-0.16871680334089545,73.66459991680574,5.555555555555716,0.34520108430903695,7.425880098547552e-13,0.7996,73.66459991680574
13.299999999999969,-0.024140309840168815,-0.15825857304742907,74.21903249029158,5.55555555555577,0.32257344958803774,5.384759628561186e-13,0.7849,74.21903249029158
13.399999999999968,-0.020871169355111234,-0.14659043696115637,74.77358807542942,5.555555555555798,0.30954118056942603,2.714789516174807e-13,0.7357,74.77358807542942
13.499999999999968,-0.01946409555923672,-0.13604607552545023,75.32835598419315,5.555555555555497,0.2823682559603863,-3.007405065607564e-12,0.8119,75.32835598419315
13.599999999999968,-0.018489722897290173,-0.12613524325508685,75.8832374829892,5.555555555555361,0.26153629405705986,-1.3572470514817654e-12,0.8642,75.8832374829892
13.699999999999967,-0.01638958748019885,-0.11604827376182403,76.43819010960837,5.555555555555314,0.24634321200988724,-4.746761806409123e-13,0.8932,76.43819010960837
13.799999999999967,-0.015165720332999757,-0.10686229821976889,76.99326216757746,5.555555555555258,0.2247541906378453,-5.559438043210015e-13,0.8415,76.99326216757746
13.899999999999967,-0.014477710336047866,-0.09858326366537007,77.548411050127,5.555555555555256,0.20600472803758874,-1.9107424250514162e-14,0.8894,77.548411050127
13.999999999999966,-0.01295547399124567,-0.09041744225702296,78.10359957821733,5.555555555555233,0.19295798361078914,-2.282820923362551e-13,0.8464,78.10359957821733
14.099999999999966,-0.011538931900320222,-0.08280072554702844,78.6588539403489,5.555555555555186,0.17717348642685063,-4.693321101726818e-13,0.8627,78.6588539403489
14.199999999999966,-0.011252791983455163,-0.076349232917166,79.21416652559351,5.5555555555551965,0.15937534001909548,1.0943539354324673e-13,0.7793,79.21416652559351
14.299999999999965,-0.01024434806145335,-0.07002500390331123,79.76950168982601,5.5555555555552365,0.14938008841888378,4.0112994869126456e-13,0.6832,79.76950168982601
14.399999999999965,-0.00899799371050999,-0.06401293446872058,80.32486743059944,5.555555555555213,0.1380760581105475,-2.2873131819187385e-13,0.7805,80.32486743059944
14.499999999999964,-0.008831173475812304,-0.0589737375892363,80.88027351289777,5.555555555555388,0.12327694132131378,1.7458924752980647e-12,0.6393,80.88027351289777
14.599999999999964,-0.007976420591043316,-0.05401777432739597,81.43569827580505,5.555555555555399,0.11583855550396194,1.0682544881697741e-13,0.6881,81.43569827580505
14.699999999999964,-0.007111915216303944,-0.04942306575064759,81.99113833866598,5.555555555555523,0.10641059979949251,1.2403111835922003e-12,0.6081,81.99113833866598
14.799999999999963,-0.006454377491894145,-0.04522431857248144,82.54660052036638,5.5555555555556095,0.0969276448962385,8.57992170216481e-13,0.6129,82.54660052036638
14.899999999999963,-0.006102309934054121,-0.04151060431205433,83.1020819139,5.555555555555477,0.08795547645836609,-1.3256979840007234e-12,0.7832,83.1020819139
14.999999999999963,-0.005417189234138959,-0.037904994065194764,83.65757180531573,5.555555555555574,0.0818681355019301,9.698004633465477e-13,0.5478,83.65757180531573
15.099999999999962,-0.004717200213725895,-0.03452123691355746,84.21307111011907,5.55555555555547,0.07496413376615507,-1.043415662562964e-12,0.7234,84.21307111011907
15.199999999999962,-0.00440330873111132,-0.03152950819406941,84.76858431111928,5.5555555555555785,0.06720593068302302,1.085759320273995e-12,0.6137,84.76858431111928
